id,Do you like cats?,Do you like dogs?,"If you were stranded on a desert island, what is the one item you want to have with you?","If you were to create a slogan for your life, what would the slogan be? (Examples: ""Eat, drink, and be merry, for tomorrow, we all die."" ""Bite off more than you can chew."" ""There are far better things ahead than any we leave behind."")",What is your favorite day of the week?,"Are you a lark, an owl, or a hummingbird?",What is your favorite food?,What is your favorite drink?,What is your favorite season?,What is your favorite Month?,What is one hobby that you enjoy?,What is your degree program?,What is your primary specialization?,What is your primary statistical software?,"What is your level of R experience (1=None, 5=Advanced)?",How comfortable are you with coding?,How long have you been coding (in years or months)?,What are three things you hope to learn in this course?,"What is your major public health area of interest (e.g. cancer, heart disease, maternal child health, disparities, etc.)?",What is your favorite number?,What is your birth day (e.g. October 28-report 28)?,What is your birth month (e.g. October 28-report 10)?,What is your home country?,What is your home state?,What is your home city?,What is your highest education level?
19,Ambivalent,Yes,Fire starter,It be like that sometimes.,Thursday,Owl (I am a night person),Pasta,Cherry Coke,Spring,March,Reading,MPH only,Epidemiology/Biostatistics,R,3,4,>2 years,"More efficient ways of coding
Learning how to write my own functions",Maternal child health,6,13,4,United States,Texas,McKinney,Bachelor's degree
20,Yes,Yes,Dog,"After all, tomorrow is another day.",Friday,Owl (I am a night person),Hot pot,Pure water,Fall,July,Dancing,MPH only,Epidemiology/Biostatistics,Stata,2,3,0-3 months,Basic statistics in R; Data visualization; Presentation.,Health services.,7,25,5,China,China,Luzhou,Master's degree
21,Yes,Yes,A friend,"
God rewards hard work",Friday,Owl (I am a night person),Roast duck,Pale Ale,Fall,November,Reading,MPH only,Epidemiology/Biostatistics,SPSS,3,4,4-6 months,"Coding, statistic skills and do some practice",cardiovascular disease,7,12,6,China,Shandong,Yantai,Bachelor's degree
22,Ambivalent,Ambivalent,Cheese,Keep pushing through,Thursday,Lark ( I am a morning person),Lasagne,Gin & Tonic,Fall,October,Hiking,MPH only,Urban design,R,3,3,7-9 months,1) Become better at coding for data analysis 2) become more comfortable with data analysis 3) data visualization,spatial inequality/chronic disease disparities,9,29,12,United States,Texas,Odessa,Bachelor's degree
23,Yes,Yes,A rainmaking machine,Live life to the fullest,Friday,Hummingbird (I am neither a lark nor an owl),Any food my mom makes,Lemonade,Spring,January,Art,MPH only,Epidemiology/Biostatistics,SPSS,1,1,0-3 months,Be better at coding and analyzing data ,mental health,5,20,1,India,Tamilnadu,Chennai,Doctoral degree
24,Yes,Yes,A swiss army knife,Living waters to a thirsty land,Tuesday,Owl (I am a night person),Pasta ,Orange juice,Spring,May,Auto racing,MPH only,Epidemiology/Biostatistics,Excel,1,1,0-3 months,"1) Apply epidemiological thinking and analysis to solving health problems
2) Attain competency in data analysis in R
3) To be challenged",Infectious diseases,22,9,3,Ghana,Greater Accra,Accra,Doctoral degree
25,No,No,a LifeStraw,"It's going to be a bumpy road ahead, but you can do it too.",Saturday,Owl (I am a night person),It depends,It depends,Summer,August,Reading a book that makes me forget reality,MPH only,Epidemiology/Biostatistics,SAS,2,2,4-6 months,How to work on data,Health disparities and communication,0,26,August,France,Ile-de-France,Paris,Bachelor's degree
26,Yes,Ambivalent,A Satellite Phone,"Live, Laugh, Love and Aspire to Inspire",Wednesday,Hummingbird (I am neither a lark nor an owl),Pizza,Orange Juice,Fall,January,Swimming,MPH only,Epidemiology/Biostatistics,SPSS,1,2,4-6 months,"R coding, build on what I already learned in year 1, and anything that's interesting",Infectious Diseases and Poverty,9,10,8,Saudi Arabia,Ar Riyad,Riyadh,Bachelor's degree
27,No,Yes,A water filter,"""Think more about what brings you and others around you joy and less about what soothes your fears.""-GG",Saturday,Owl (I am a night person),Indian cuisine,Agua Frescas,Fall,September,Reading. (Does sleeping count?),MPH only,Epidemiology/Biostatistics,SPSS,2,1,0-3 months,"Creating visual representation of data, understanding, reading and writing code.",Chronic Disease: Cancer prevention,7,19,12,India,UT,Chandigarh,Bachelor's degree
28,No,Yes,phone,happy everyday,Saturday,Owl (I am a night person),Cake,Milk Tea,Spring,August,Traveling,MPH only,Epidemiology/Biostatistics,SAS,3,4,7-9 months,Practice in solving real problems by coding,Mental health,6,20,5,China,Jiangsu,Huai’an,Bachelor's degree
29,Yes,Yes,,,Friday,Owl (I am a night person),Shrimp ,Milk Tea,Summer,August,Traveling ,MPH only,Epidemiology/Biostatistics,SAS,1,5,7-9 months,,cancer,8,4,10,China ,Jiangsu Province ,Wuxi,Bachelor's degree
30,Yes,Yes,ZeroWater Filter,Sh$% happens,Friday,Owl (I am a night person),Paella ,Water,Fall,October,Boxing,MPH only,Epidemiology/Biostatistics,R,3,4,>1 to 2 years,"Analysis, and Cleaning Up Data",Maternal and Infant Mortality with Trauma/Race Lens,5,11,8,United States of America,Oregon,Portland,Bachelor's degree
31,Yes,Yes,flare gun,"Do what you can do, and enjoy everything",Friday,Owl (I am a night person),Steak,Lemon tea,Summer,July,PC games,MPH only,Epidemiology/Biostatistics,R,5,5,>1 to 2 years,Advanced data analysis skills and advanced programming skills,Alzheimer's disease,114514,26-Mar,March,China,Shanghai,Shanghai,Bachelor's degree
32,Ambivalent,Yes,Lighter,Go with the flow,Friday,Lark ( I am a morning person),Rice,Coffee,Fall,December,Playing piano,MSW only,Policy in general,,1,1,0-3 months,"Data analysis skill, understanding of coding programs",Disability,7,22,6,South Korea,Gyeonggi-do,Yong-in,Master's degree
